StockCode,Description,CustomerID,Country,UnitPrice,Quantity
10002,INFLATABLE POLITICAL GLOBE,12451.0,Switzerland,0.85,12.0
10002,INFLATABLE POLITICAL GLOBE,12510.0,Spain,0.85,24.0
10002,INFLATABLE POLITICAL GLOBE,12583.0,France,0.85,48.0
10002,INFLATABLE POLITICAL GLOBE,12637.0,France,0.85,12.0
10002,INFLATABLE POLITICAL GLOBE,12673.0,Germany,0.85,1.0
10002,INFLATABLE POLITICAL GLOBE,12682.0,France,0.85,24.0
10002,INFLATABLE POLITICAL GLOBE,12731.0,France,0.85,36.0
10002,INFLATABLE POLITICAL GLOBE,12748.0,United Kingdom,0.85,1.0
10002,INFLATABLE POLITICAL GLOBE,12867.0,United Kingdom,0.85,3.0
10002,INFLATABLE POLITICAL GLOBE,12872.0,United Kingdom,0.85,10.0
10002,INFLATABLE POLITICAL GLOBE,13069.0,United Kingdom,0.85,1.0
10002,INFLATABLE POLITICAL GLOBE,13230.0,United Kingdom,0.85,2.0
10002,INFLATABLE POLITICAL GLOBE,13246.0,United Kingdom,0.85,11.0
10002,INFLATABLE POLITICAL GLOBE,14258.0,United Kingdom,0.85,60.0
10002,INFLATABLE POLITICAL GLOBE,14713.0,United Kingdom,0.85,35.0
10002,INFLATABLE POLITICAL GLOBE,14911.0,EIRE,0.85,12.0
10002,INFLATABLE POLITICAL GLOBE,15529.0,United Kingdom,0.85,12.0
10002,INFLATABLE POLITICAL GLOBE,16098.0,United Kingdom,0.85,12.0
10002,INFLATABLE POLITICAL GLOBE,16122.0,United Kingdom,0.85,12.0
10002,INFLATABLE POLITICAL GLOBE,16395.0,United Kingdom,0.85,6.0
10002,INFLATABLE POLITICAL GLOBE,16701.0,United Kingdom,0.85,24.0
10002,INFLATABLE POLITICAL GLOBE,16795.0,United Kingdom,0.85,8.0
10002,INFLATABLE POLITICAL GLOBE,16805.0,United Kingdom,0.85,4.0
10002,INFLATABLE POLITICAL GLOBE,17236.0,United Kingdom,0.85,2.0
10002,INFLATABLE POLITICAL GLOBE,17365.0,United Kingdom,0.85,12.0
